genre,n,mean_cosine_similarity,min_cosine_similarity,max_cosine_similarity
childhood_memory,12,0.8795,0.7371,0.9661
dreamlike_violent_rupture,12,0.8262,0.6203,0.9202
grief_medical,12,0.8752,0.6898,0.9545
mistaken_grief,12,0.8718,0.6511,0.9556
near_death_anomalous_memory,12,0.7691,0.65,0.8611
ordinary_transformation,12,0.8934,0.7358,0.9554
philosophical_experimental,12,0.8018,0.6672,0.9073
philosophical_identity,12,0.799,0.7165,0.9105
self_observer_projection,12,0.7728,0.7102,0.8307
spiritual_autobiographical,12,0.8119,0.698,0.9399
stream_of_consciousness_spiritual,12,0.7846,0.6912,0.8669
uncanny_descriptive,12,0.8932,0.8037,0.9597
